ind,date,tbstat,tbstat.yng,tbstat.ad,sex,age.known,age,season,year,socg,weight,toothwear,condition,body.length,temp,dam,young,age.sq,age.cb,unique ,body.length.est,smi
043W,10/01/2006,0,0,NA,2,1,1,Winter,2006,BEECH,9,0.25,GOOD,85.5,38.2,D059,1,1,1,043W38727,85.5,6.50797578
043W,10/10/2007,0,NA,0,2,2,2,Autumn,2007,BEECH,12.8,0.25,VGOOD,90,38.5,D059,2,4,8,043W39365,90,7.513174337
043W,22/07/2008,0,NA,0,2,3,3,Summer,2008,LARCH,9.4,0.25,FAIR,88,38.1,D059,2,9,27,043W39651,88,6.045483313
043W,22/10/2008,0,NA,0,2,3,3,Autumn,2008,LARCH,10.8,0.75,GOOD,89,37.7,D059,2,9,27,043W39743,89,6.633925656
043W,02/06/2009,0,NA,0,2,4,4,Summer,2009,LARCH,8.7,0.5,GOOD,87,37.9,D059,2,16,64,043W39966,87,5.861473845
043W,21/07/2009,0,NA,0,2,4,4,Summer,2009,LARCH,9.3,0.5,FAIR,89,38.7,D059,2,16,64,043W40015,89,5.712547092
043W,11/05/2010,0,NA,0,2,5,5,Spring,2010,LARCH,9.1,0.75,GOOD,89,37.7,D059,2,25,125,043W40309,89,5.589696617
043W,03/05/2011,0,NA,0,2,6,6,Spring,2011,LARCH,8.7,0.75,FAIR,89.5,37.8,D059,2,36,216,043W40666,89.5,5.223623448
043W,06/07/2011,0,NA,0,2,6,6,Summer,2011,LARCH,8.3,0.5,FAIR,88,37.9,D059,2,36,216,043W40730,88,5.338033138
043W,06/09/2011,0,NA,0,2,6,6,Autumn,2011,LARCH,8.6,0.75,FAIR,90,37.4,D059,2,36,216,043W40792,90,5.047914007
043W,06/12/2011,0,NA,0,2,6,6,Winter,2011,LARCH,12.9,1,VGOOD,88,37.4,D059,2,36,216,043W40883,88,8.296461142
043W,17/07/2012,0,NA,0,2,7,7,Summer,2012,LARCH,6.9,1,POOR,86,37.9,D059,2,49,343,043W41107,86,4.872528927
043W,18/09/2012,0,NA,0,2,7,7,Autumn,2012,LARCH,8.2,0.75,POOR,88,37.8,D059,2,49,343,043W41170,88,5.273719486
043W,22/05/2013,0,NA,0,2,8,8,Spring,2013,LARCH,9.4,0.75,FAIR,87,38.3,D059,2,64,512,043W41416,87,6.333086683
043Y,31/07/2007,0,0,NA,1,0,0,Summer,2007,JACKS_MIREY,5.8,0,GOOD,80,37.9,NA,1,0,0,043Y39294,80,5.49616834
043Y,24/10/2007,1,1,NA,1,0,0,Autumn,2007,JACKS_MIREY,7.1,0,GOOD,84,37.5,NA,1,0,0,043Y39379,84,5.517232406
043Y,23/01/2008,1,1,NA,1,1,1,Winter,2008,JACKS_MIREY,9.4,0,GOOD,85,38.9,NA,1,1,1,043Y39470,85,6.96129046
